id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
2081187,SFR,,69 BOULEVARD SAINT MICHEL (METRO GARE RER LUXEMBOURG) 75005 PARIS 05,75105,"48.8467,2.3406",Intérieur sous-terrain,0m,RATP,2018-03-02,CHA,GARE RER LUXEMBOURG 69 BOULEVARD SAINT MICHEL,False,False
2082786,ONATI,5G NR 3500,IMMEUBLE AORAI (CENTRE COMMERCIAL ODYSSEY) (RUE EDOUARD AHNNE) 98714 PAPEETE,98735,"-17.54,-149.5661",Immeuble,27m,"Copropriété, Syndic, SCI",2025-08-18,ALL,,False,False
2091050,ORANGE,LTE 700, (BOIS DE VERDURE) 62650 HERLY,62437,"50.5369,2.0042",Pylône autostable,40m,TOTEM,2026-01-15,AAV,,False,False
2091184,BOUYGUES TELECOM,,22 BLD VICTOR HUGO METRO 06300 NICE,06088,"43.6994,7.2639",Tunnel,0m,"Commune, communauté de communes",2019-06-28,CHA,22 bld victor hugo RTE DE GRENOBLE METRO,False,False
2091184,FREE MOBILE,,22 BLD VICTOR HUGO METRO 06300 NICE,06088,"43.6994,7.2639",Tunnel,0m,"Commune, communauté de communes",2019-06-05,CHA,22 bld victor hugo RTE DE GRENOBLE METRO,False,False
2091184,ORANGE,,22 BLD VICTOR HUGO METRO 06300 NICE,06088,"43.6994,7.2639",Tunnel,0m,"Commune, communauté de communes",2020-01-01,CHA,22 bld victor hugo RTE DE GRENOBLE METRO,False,False
2091184,SFR,,22 BLD VICTOR HUGO METRO 06300 NICE,06088,"43.6994,7.2639",Tunnel,0m,"Commune, communauté de communes",2025-07-30,CHA,22 bld victor hugo RTE DE GRENOBLE METRO,False,False
2104266,ORANGE,"LTE 2100, 5G NR 3500",RUE DE L'EQUIPÉE 60640 GUISCARD,60291,"49.6603,3.0575",Pylône tubulaire,35m,ATC FRANCE,2026-01-02,ALL,,False,False
2123331,ORANGE,"5G NR 700, 5G NR 3500",D66 PEX DIG  EMBRANCHEMENT À CÔTÉ DE LA ROUTE DE DINO 40170 MEZOS,40182,"44.0692,-1.1717",Pylône haubané,"55,5m",TOTEM,2025-12-15,ALL,,False,False
2129064,ORANGE,"LTE 1800, 5G NR 2100", (LA CROIX AUX GEARDS) 86800 BIGNOUX,86028,"46.5997,0.4764",Pylône tubulaire,25m,TOTEM,2025-12-08,ALL,,False,False
2136897,FREE MOBILE,LTE 900,RUE DE LA LIBERATION A35 68870 BARTENHEIM,68021,"47.6375,7.5014",Pylône tubulaire,40m,ON TOWER FRANCE,2026-01-06,ALL,,False,False
2140605,ORANGE,5G NR 2100, (LE FOUCAUDAT) 16130 JUILLAC LE COQ,16171,"45.5858,-0.2692",Pylône tubulaire,30m,TOTEM,2025-12-15,ALL,,False,False
2179856,BOUYGUES TELECOM,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",102 BIS RUE ALBERT DENIS 54200 TOUL,54528,"48.6681,5.8814",Immeuble,"23,1m",Société HLM,2025-12-24,ALL,,False,True
2195081,FREE MOBILE,LTE 900,20 RUE MARC SANGNIER 93190 LIVRY GARGAN,93046,"48.9253,2.5467",Bâtiment,"19,5m","Copropriété, Syndic, SCI",2026-01-06,ALL,,False,False
2214795,BOUYGUES TELECOM,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",D105 - ROUTE DE CHAIGNAY (COMBRE ROBIN) 21120 GEMEAUX,21290,"47.4728,5.13",Pylône autostable,37m,ON TOWER FRANCE,2025-12-24,ALL,,False,True
2216813,BOUYGUES TELECOM,LTE 2100,129 ALL ROBERT SCHUMANN 84300 CAVAILLON,84035,"43.8178,5.0464",Pylône autostable,"13,5m",Towercast,2025-12-29,ALL,,False,False
22182,Gouv Nelle Calédonie (OPT),UMTS 2100,LOTS 52 - 53 VILLAGE 98822 POINDIMIE,98822,"-20.9378,165.3314",Pylône autostable,40m,Office des Postes et Télécom,2011-08-16,ALL,,False,False
2230537,ORANGE,5G NR 2100,RUE DE LA BRETTIGNOLLERIE (BELLEVUE NOIRLIEU) 79300 BRESSUIRE,79049,"46.9244,-0.4269",Pylône autostable,30m,TDF,2025-12-29,ALL,,False,False
2233380,ORANGE,LTE 700,RUE DU COMMERCE STADE MUNICIPAL LE BOURG 18320 TORTERON,18265,"47.0244,2.9664",Pylône autostable,36m,ATC FRANCE,2026-01-15,AAV,,False,False
2246081,ORANGE,"LTE 2100, 5G NR 700, 5G NR 3500", (LE LAGA) 33390 ANGLADE,33006,"45.2033,-0.6356",Pylône autostable,24m,TOTEM,2025-12-30,ALL,,False,False
2266351,ZEOP,,5/7 RUE EUGÈNE DESCAMPS ST DENIS - FAC 97490 ST DENIS,97411,"-20.9014,55.4811",Immeuble,25m,Société HLM,2019-10-10,CHT,Bâtiment,False,False
2278662,SFR,5G NR 2100,PIECE DE LA MONTEE BEL AIR 37800 DRACHE,37098,"47.0617,0.6139",Pylône autostable,"38,7m",BOUYGUES,2025-12-31,ALL,,False,False
