id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1610295,FREE MOBILE,LTE 800, (PUY D'HYVERNERESSE) 23500 GIOUX,23091,"45.8292,2.1328",Pylône autostable,"17,6m",ATC FRANCE,AJO,,100|200|320,,False,False
1610301,FREE MOBILE,LTE 800,RUE DES MEIX (LES HERBUES) 21330 CERILLY,21125,"47.8636,4.4978",Château d'eau - réservoir,"25,5m","Syndicat des eaux, Adduction",AJO,,60|180|300,,False,False
1610305,FREE MOBILE,LTE 800,LE FREISSEIX (PUYS DE PERIGEAS) 19170 L EGLISE AUX BOIS,19074,"45.6611,1.7825",Pylône autostable,34m,BOUYGUES,AJO,,30|180,,False,False
1610309,FREE MOBILE,LTE 800, (LE PLESSIX) 22640 PLENEE JUGON,22185,"48.3636,-2.4108",Pylône autostable,33m,ATC FRANCE,AJO,,10|130|250,,False,False
1610313,FREE MOBILE,LTE 800,SCIERIE MARTIN (LA GROSSE PIERRE) 21330 LAIGNES,21336,"47.8381,4.3769",Pylône autostable,28m,BOUYGUES,AJO,,60|250|300,,False,False
1610320,FREE MOBILE,LTE 800, (LES GOUTOULES) 34210 MINERVE,34158,"43.3508,2.7442",Pylône autostable,20m,TOTEM,AJO,,30|150|270,,False,False
1610324,FREE MOBILE,LTE 800,CHEM RURAL DU MOULIN DE LAFAYE (FONT PEY) 24530 BRANTOME EN PERIGORD,24064,"45.3639,0.5786",Pylône autostable,"30,7m",Conseil Départemental,AJO,,0|120|240,,False,False
1610328,FREE MOBILE,LTE 800,HOUNTAOU (LA BORDE NEUVE) 32220 GARRAVET,32138,"43.4214,0.9169",Pylône autostable,28m,ATC FRANCE,AJO,,0|120|240,,False,False
1610346,FREE MOBILE,LTE 800,TUCOULET (COUMO DE SAMAN) 31230 CASTELGAILLARD,31115,"43.3614,0.9014",Pylône autostable,32m,BOUYGUES,AJO,,0|110|220,,False,False
1610377,FREE MOBILE,LTE 800, (PIERRY) 18350 CHARLY,18054,"46.8797,2.7983",Pylône autostable,37m,TDF,AJO,,130|290|355,,False,False
1610392,FREE MOBILE,LTE 800,STATION DE POMPAGE DE VILLIERS (LES HATES) 21330 CHANNAY,21143,"47.8842,4.3486",Pylône autostable,30m,Conseil Départemental,AJO,,20|140|250,,False,False
1610400,FREE MOBILE,LTE 800,PRÈS D. 87 (PRÈS DES SERVES) 24300 ABJAT SUR BANDIAT,24001,"45.5811,0.7639",Pylône autostable,30m,Conseil Départemental,AJO,,100|220|315,,False,False
1610415,FREE MOBILE,LTE 800,SAOUBIN (LAS BOURGATEROS) 31370 LE PIN MURELET,31419,"43.3919,1.0225",Pylône autostable,25m,ATC FRANCE,AJO,,120|230|330,,False,False
1610436,FREE MOBILE,LTE 800,CHEM RURAL DE FONTAINE (LE VILLAGE) 21330 NESLE ET MASSOULT,21451,"47.7775,4.4192",Pylône autostable,38m,BOUYGUES,AJO,,10|100|220,,False,False
1611799,FREE MOBILE,LTE 800,CHEM COMMUNAL (RASCUEJOUL) 15600 LEYNHAC,15104,"44.7339,2.2836",Pylône autostable,24m,Conseil Départemental,AJO,,70|190|290,,False,False
1612315,FREE MOBILE,LTE 800,NEGREFEUILLE 12370 MURASSON,12163,"43.7586,2.7275",Pylône autostable,"23,7m",TDF,AJO,,90,,False,False
1612328,FREE MOBILE,LTE 800,"PRÈS INTERSECTION D960 D102, BOIS MONSIEUR (CHANTE COQ) 10500 LA CHAISE",10072,"48.3667,4.6522",Pylône autostable,34m,Conseil Départemental,AJO,,130|300,,False,False
1612334,FREE MOBILE,LTE 800, (LE PILAR) 19170 BONNEFOND,19027,"45.5211,1.9903",Pylône autostable,40m,Conseil Départemental,AJO,,0|140|270,,False,False
1612358,FREE MOBILE,LTE 800,ST MARTIN (LA PLANE) 31230 AMBAX,31007,"43.3628,0.9406",Pylône autostable,"20,3m",ATC FRANCE,AJO,,340,,False,False
